x_value,total_1,total_2
0,1000,1000
1,997,998
2,994,1004
3,989,1005
4,992,1010
5,989,1011
6,997,1014
7,998,1019
8,1003,1019
9,1004,1023
10,1006,1018
11,1001,1014
12,999,1018
13,1005,1017
14,1008,1013
15,1016,1009
16,1012,1008
17,1018,1012
18,1014,1016
19,1011,1016
20,1019,1020
21,1022,1020
22,1029,1015
23,1023,1011
24,1028,1013
25,1029,1017
26,1029,1019
27,1033,1016
28,1036,1012
29,1041,1007
30,1047,1008
31,1048,1013
32,1044,1016
33,1045,1012
34,1049,1017
35,1057,1020
36,1056,1015
37,1059,1021
38,1059,1018
39,1057,1017
40,1065,1016
41,1064,1019
42,1059,1015
43,1066,1011
44,1060,1013
45,1065,1013
46,1064,1009
47,1061,1004
48,1069,1006
49,1064,1012
50,1067,1008
51,1068,1007
52,1072,1003
53,1077,1005
54,1085,1003
55,1086,1000
56,1081,1003
57,1076,1001
58,1079,999
59,1086,1000
60,1086,1001
61,1094,1007
62,1093,1009
63,1100,1010
64,1100,1012
65,1099,1013
66,1107,1008
67,1115,1012
68,1116,1008
69,1116,1013
