,ki,kd,time
"(10, 0.0)",10,0.0,10.908094882965088
"(10, 0.5)",10,0.5,11.912830591201782
"(10, 1.0)",10,1.0,12.16178274154663
"(10, 1.5)",10,1.5,12.282196998596191
"(11, 0.0)",11,0.0,11.952348470687866
"(11, 0.5)",11,0.5,11.784680128097534
"(11, 1.0)",11,1.0,12.077728033065796
"(11, 1.5)",11,1.5,11.970459938049316
"(12, 0.0)",12,0.0,11.78182077407837
"(12, 0.5)",12,0.5,11.553058385848999
"(12, 1.0)",12,1.0,11.72123646736145
"(12, 1.5)",12,1.5,11.141888856887817
"(13, 0.0)",13,0.0,13.874141454696655
"(13, 0.5)",13,0.5,11.103193998336792
"(13, 1.0)",13,1.0,11.664097547531128
"(13, 1.5)",13,1.5,11.159099817276001
"(14, 0.0)",14,0.0,11.650818824768066
"(14, 0.5)",14,0.5,11.093534231185913
"(14, 1.0)",14,1.0,13.913876295089722
"(14, 1.5)",14,1.5,10.941092491149902
"(15, 0.0)",15,0.0,13.619345903396606
"(15, 0.5)",15,0.5,10.980893611907959
"(15, 1.0)",15,1.0,13.377692222595215
"(15, 1.5)",15,1.5,11.015982151031494
"(16, 0.0)",16,0.0,13.6424720287323
"(16, 0.5)",16,0.5,12.964227199554443
"(16, 1.0)",16,1.0,14.184803485870361
"(16, 1.5)",16,1.5,14.030019521713257
