,ki,kd,time
"(0.0, 0.0)",0.0,0.0,5.188270330429077
"(0.0, 0.1)",0.0,0.1,6.084072113037109
"(0.0, 0.2)",0.0,0.2,5.356718301773071
"(0.0, 0.30000000000000004)",0.0,0.30000000000000004,6.284499406814575
"(0.0, 0.4)",0.0,0.4,5.26332688331604
"(0.0, 0.5)",0.0,0.5,5.730030536651611
"(0.0, 0.6000000000000001)",0.0,0.6000000000000001,5.288668394088745
"(0.0, 0.7000000000000001)",0.0,0.7000000000000001,5.857486724853516
"(0.0, 0.8)",0.0,0.8,6.0853965282440186
"(0.0, 0.9)",0.0,0.9,6.110635757446289
"(0.01, 0.0)",0.01,0.0,5.200830936431885
"(0.01, 0.1)",0.01,0.1,15.00615906715393
"(0.01, 0.2)",0.01,0.2,5.6548011302948
"(0.01, 0.30000000000000004)",0.01,0.30000000000000004,5.994435548782349
"(0.01, 0.4)",0.01,0.4,6.827328681945801
"(0.01, 0.5)",0.01,0.5,5.3118438720703125
"(0.01, 0.6000000000000001)",0.01,0.6000000000000001,5.180627346038818
"(0.01, 0.7000000000000001)",0.01,0.7000000000000001,6.142394542694092
"(0.01, 0.8)",0.01,0.8,5.179116725921631
"(0.01, 0.9)",0.01,0.9,15.082222700119019
"(0.02, 0.0)",0.02,0.0,5.524048566818237
"(0.02, 0.1)",0.02,0.1,5.712003231048584
"(0.02, 0.2)",0.02,0.2,5.337325811386108
"(0.02, 0.30000000000000004)",0.02,0.30000000000000004,15.077596426010132
"(0.02, 0.4)",0.02,0.4,5.816026210784912
"(0.02, 0.5)",0.02,0.5,5.527005434036255
"(0.02, 0.6000000000000001)",0.02,0.6000000000000001,5.388258695602417
"(0.02, 0.7000000000000001)",0.02,0.7000000000000001,5.604039192199707
"(0.02, 0.8)",0.02,0.8,5.31268048286438
"(0.02, 0.9)",0.02,0.9,5.345718860626221
"(0.03, 0.0)",0.03,0.0,5.298935890197754
"(0.03, 0.1)",0.03,0.1,5.572834014892578
"(0.03, 0.2)",0.03,0.2,5.506038188934326
"(0.03, 0.30000000000000004)",0.03,0.30000000000000004,12.660292863845825
"(0.03, 0.4)",0.03,0.4,5.600385904312134
"(0.03, 0.5)",0.03,0.5,5.115915298461914
"(0.03, 0.6000000000000001)",0.03,0.6000000000000001,5.261191368103027
"(0.03, 0.7000000000000001)",0.03,0.7000000000000001,5.484564304351807
"(0.03, 0.8)",0.03,0.8,5.1666295528411865
"(0.03, 0.9)",0.03,0.9,5.351302623748779
"(0.04, 0.0)",0.04,0.0,5.123661041259766
"(0.04, 0.1)",0.04,0.1,5.727497100830078
"(0.04, 0.2)",0.04,0.2,5.099847078323364
"(0.04, 0.30000000000000004)",0.04,0.30000000000000004,10.398081541061401
"(0.04, 0.4)",0.04,0.4,5.2668421268463135
"(0.04, 0.5)",0.04,0.5,5.43663477897644
"(0.04, 0.6000000000000001)",0.04,0.6000000000000001,5.147353410720825
"(0.04, 0.7000000000000001)",0.04,0.7000000000000001,5.268053293228149
"(0.04, 0.8)",0.04,0.8,4.933424949645996
"(0.04, 0.9)",0.04,0.9,5.280107259750366
"(0.05, 0.0)",0.05,0.0,5.093838930130005
"(0.05, 0.1)",0.05,0.1,5.238276481628418
"(0.05, 0.2)",0.05,0.2,5.194105625152588
"(0.05, 0.30000000000000004)",0.05,0.30000000000000004,14.755183219909668
"(0.05, 0.4)",0.05,0.4,5.188553333282471
"(0.05, 0.5)",0.05,0.5,5.098088026046753
"(0.05, 0.6000000000000001)",0.05,0.6000000000000001,5.057476758956909
"(0.05, 0.7000000000000001)",0.05,0.7000000000000001,5.183580160140991
"(0.05, 0.8)",0.05,0.8,5.181530475616455
"(0.05, 0.9)",0.05,0.9,5.137194395065308
"(0.06, 0.0)",0.06,0.0,5.088334798812866
"(0.06, 0.1)",0.06,0.1,5.217433214187622
"(0.06, 0.2)",0.06,0.2,5.065975189208984
"(0.06, 0.30000000000000004)",0.06,0.30000000000000004,5.196762800216675
"(0.06, 0.4)",0.06,0.4,5.072671175003052
"(0.06, 0.5)",0.06,0.5,5.564682960510254
"(0.06, 0.6000000000000001)",0.06,0.6000000000000001,12.162210702896118
"(0.06, 0.7000000000000001)",0.06,0.7000000000000001,5.079554796218872
"(0.06, 0.8)",0.06,0.8,5.12460994720459
"(0.06, 0.9)",0.06,0.9,5.289833068847656
"(0.07, 0.0)",0.07,0.0,5.211277008056641
"(0.07, 0.1)",0.07,0.1,5.082525968551636
"(0.07, 0.2)",0.07,0.2,4.9733030796051025
"(0.07, 0.30000000000000004)",0.07,0.30000000000000004,5.12451696395874
"(0.07, 0.4)",0.07,0.4,4.875200033187866
"(0.07, 0.5)",0.07,0.5,5.129948139190674
"(0.07, 0.6000000000000001)",0.07,0.6000000000000001,4.983901500701904
"(0.07, 0.7000000000000001)",0.07,0.7000000000000001,5.10690975189209
"(0.07, 0.8)",0.07,0.8,9.600335121154785
"(0.07, 0.9)",0.07,0.9,5.1150758266448975
"(0.08, 0.0)",0.08,0.0,4.9825592041015625
"(0.08, 0.1)",0.08,0.1,4.9629738330841064
"(0.08, 0.2)",0.08,0.2,10.773883581161499
"(0.08, 0.30000000000000004)",0.08,0.30000000000000004,4.962948560714722
"(0.08, 0.4)",0.08,0.4,10.132923364639282
"(0.08, 0.5)",0.08,0.5,5.450436115264893
"(0.08, 0.6000000000000001)",0.08,0.6000000000000001,5.0005786418914795
"(0.08, 0.7000000000000001)",0.08,0.7000000000000001,4.993415832519531
