,kv,kw,time
"(9, 7)",9,7,21.514416456222534
"(9, 8)",9,8,14.850987434387207
"(9, 9)",9,9,12.089629411697388
"(10, 7)",10,7,10.649583578109741
"(10, 8)",10,8,16.455061197280884
"(10, 9)",10,9,10.675969123840332
"(11, 7)",11,7,22.015116214752197
"(11, 8)",11,8,22.036418914794922
"(11, 9)",11,9,15.558115720748901
"(12, 7)",12,7,22.06951117515564
"(12, 8)",12,8,22.05357813835144
"(12, 9)",12,9,22.042699813842773
"(13, 7)",13,7,22.016438007354736
"(13, 8)",13,8,22.046982765197754
"(13, 9)",13,9,22.052119731903076
