,kv,kw,time
"(0.2, 0.2)",0.2,0.2,9.575989484786987
"(0.2, 0.4)",0.2,0.4,13.180452823638916
"(0.2, 0.6000000000000001)",0.2,0.6000000000000001,13.550912857055664
"(0.2, 0.8)",0.2,0.8,16.043834686279297
"(0.4, 0.2)",0.4,0.2,18.73495888710022
"(0.4, 0.4)",0.4,0.4,13.072051763534546
"(0.4, 0.6000000000000001)",0.4,0.6000000000000001,12.206190824508667
"(0.4, 0.8)",0.4,0.8,11.714739084243774
"(0.6000000000000001, 0.2)",0.6000000000000001,0.2,17.32794952392578
"(0.6000000000000001, 0.4)",0.6000000000000001,0.4,13.248005628585815
"(0.6000000000000001, 0.6000000000000001)",0.6000000000000001,0.6000000000000001,12.28644847869873
"(0.6000000000000001, 0.8)",0.6000000000000001,0.8,11.965577840805054
"(0.8, 0.2)",0.8,0.2,13.487727880477905
"(0.8, 0.4)",0.8,0.4,16.039389848709106
"(0.8, 0.6000000000000001)",0.8,0.6000000000000001,12.032191753387451
"(0.8, 0.8)",0.8,0.8,11.380091190338135
"(1.0, 0.2)",1.0,0.2,16.223058938980103
"(1.0, 0.4)",1.0,0.4,16.063202381134033
"(1.0, 0.6000000000000001)",1.0,0.6000000000000001,12.17283296585083
"(1.0, 0.8)",1.0,0.8,11.74135947227478
"(1.2, 0.2)",1.2,0.2,15.95729923248291
"(1.2, 0.4)",1.2,0.4,15.346909284591675
"(1.2, 0.6000000000000001)",1.2,0.6000000000000001,14.765838861465454
"(1.2, 0.8)",1.2,0.8,12.049800872802734
"(1.4000000000000001, 0.2)",1.4000000000000001,0.2,18.25419855117798
"(1.4000000000000001, 0.4)",1.4000000000000001,0.4,12.789569616317749
"(1.4000000000000001, 0.6000000000000001)",1.4000000000000001,0.6000000000000001,14.040844440460205
"(1.4000000000000001, 0.8)",1.4000000000000001,0.8,14.386769533157349
"(1.6, 0.2)",1.6,0.2,14.032629489898682
"(1.6, 0.4)",1.6,0.4,13.847482681274414
"(1.6, 0.6000000000000001)",1.6,0.6000000000000001,14.249412536621094
"(1.6, 0.8)",1.6,0.8,14.233942031860352
"(1.8, 0.2)",1.8,0.2,141.08751368522644
"(1.8, 0.4)",1.8,0.4,109.36846709251404
"(1.8, 0.6000000000000001)",1.8,0.6000000000000001,12.963598251342773
"(1.8, 0.8)",1.8,0.8,13.759400606155396
