,kv,kw,time
"(0.0, 0.0)",0.0,0.0,22.028794288635254
"(0.0, 0.1)",0.0,0.1,10.76277470588684
"(0.0, 0.2)",0.0,0.2,22.042381763458252
"(0.0, 0.30000000000000004)",0.0,0.30000000000000004,17.05351233482361
"(0.0, 0.4)",0.0,0.4,22.01687979698181
"(0.1, 0.0)",0.1,0.0,14.9868004322052
"(0.1, 0.1)",0.1,0.1,12.610105752944946
"(0.1, 0.2)",0.1,0.2,10.827433824539185
"(0.1, 0.30000000000000004)",0.1,0.30000000000000004,11.46267294883728
"(0.1, 0.4)",0.1,0.4,13.03791093826294
"(0.2, 0.0)",0.2,0.0,11.770293474197388
"(0.2, 0.1)",0.2,0.1,10.842315435409546
"(0.2, 0.2)",0.2,0.2,13.085769176483154
"(0.2, 0.30000000000000004)",0.2,0.30000000000000004,11.169477701187134
"(0.2, 0.4)",0.2,0.4,21.073123455047607
"(0.30000000000000004, 0.0)",0.30000000000000004,0.0,22.062321662902832
"(0.30000000000000004, 0.1)",0.30000000000000004,0.1,19.766017198562622
"(0.30000000000000004, 0.2)",0.30000000000000004,0.2,11.511464834213257
"(0.30000000000000004, 0.30000000000000004)",0.30000000000000004,0.30000000000000004,12.672878980636597
"(0.30000000000000004, 0.4)",0.30000000000000004,0.4,10.807217121124268
"(0.4, 0.0)",0.4,0.0,22.03416085243225
"(0.4, 0.1)",0.4,0.1,14.059139013290405
"(0.4, 0.2)",0.4,0.2,17.993396282196045
"(0.4, 0.30000000000000004)",0.4,0.30000000000000004,13.627822160720825
"(0.4, 0.4)",0.4,0.4,18.131378650665283
